renda_mensal,score_credito,estado_civil,tempo_emprego_anos,patrimonio,dividas_pendentes,risco
14136,834,divorciado,16,281655,12330,0
5613,572,casado,13,72455,9220,1
4948,699,solteiro,18,53823,19841,1
14745,532,divorciado,12,219504,13923,1
14171,725,solteiro,11,94001,11910,0
1863,809,solteiro,5,27103,3962,1
3198,517,casado,3,39890,2925,1
9194,723,divorciado,18,102054,28803,0
12837,674,divorciado,15,247693,19489,0
13135,611,casado,12,168628,59509,1
2695,624,solteiro,3,22332,10849,1
4504,419,solteiro,16,53527,16433,1
4963,512,solteiro,0,93258,16260,1
6432,539,solteiro,17,49149,28208,1
3053,446,divorciado,19,25063,4591,1
7785,400,divorciado,16,40446,34479,1
14051,489,casado,14,73245,56944,1
2491,541,casado,10,43445,9632,1
4781,719,divorciado,12,76409,14465,1
12849,437,divorciado,0,132673,20662,1
8754,692,solteiro,16,135465,21061,0
8480,781,solteiro,5,92670,34522,0
2836,538,casado,3,54716,1823,0
4896,755,divorciado,19,95500,19678,0
12391,732,casado,15,134961,19581,0
12544,890,divorciado,14,223450,14417,0
1898,658,solteiro,14,31499,1937,0
11552,560,casado,5,111476,7192,0
13489,789,casado,14,114394,38526,0
5937,577,divorciado,13,70493,8799,0
2054,409,solteiro,10,34343,10172,1
9364,660,casado,6,181685,28887,1
7055,806,solteiro,8,116080,7905,0
8592,537,casado,15,153179,30926,1
7728,571,solteiro,4,108547,35083,1
12866,785,divorciado,19,225555,49576,0
6449,412,casado,9,108125,5442,0
6372,567,casado,17,67892,28874,0
2907,529,solteiro,2,38604,11839,1
12169,483,solteiro,12,207740,14753,0
6991,720,casado,10,39784,5124,0
11125,718,divorciado,16,190473,33462,0
6735,500,solteiro,12,51646,8096,0
6131,728,solteiro,5,77987,26091,1
4710,672,solteiro,16,80654,9949,1
1402,664,casado,12,12347,6460,0
12647,858,casado,18,109865,38517,0
5418,798,casado,18,59822,7162,0
13888,807,casado,9,255811,15668,0
10158,437,divorciado,2,50857,31430,1
5589,818,divorciado,13,103512,21956,0
3527,493,casado,18,25772,14167,1
9204,494,divorciado,4,182711,16023,1
4131,704,solteiro,4,79822,5862,0
8977,468,solteiro,19,111495,5165,1
1397,717,solteiro,16,17729,4968,0
8325,843,casado,9,101758,7030,0
3130,635,solteiro,4,45484,7491,1
12974,833,divorciado,3,82525,41615,1
7487,733,casado,5,41098,35316,0
10000,772,divorciado,3,58655,19031,0
12664,775,solteiro,6,147731,20566,0
10539,858,solteiro,6,96254,36293,0
5482,536,solteiro,17,78560,18017,1
12789,817,casado,2,254330,25507,0
3711,475,divorciado,0,40059,17354,1
11186,882,casado,3,152214,48120,0
1859,434,casado,5,20884,2803,1
4011,400,solteiro,8,71031,6321,0
8298,695,casado,13,153791,23278,1
7746,719,casado,11,140669,30837,0
10761,805,solteiro,19,211083,7513,0
3186,459,casado,3,17245,11533,1
9538,719,solteiro,11,167842,32591,0
12611,748,solteiro,9,205263,19441,0
4111,727,solteiro,6,34657,14660,0
2934,666,solteiro,2,56757,13880,1
3043,760,casado,13,21978,2162,0
9880,628,solteiro,9,150109,19151,0
4176,669,solteiro,15,34967,10322,1
3159,715,casado,15,36235,14362,0
6959,685,casado,9,109864,33613,0
7894,690,divorciado,12,106173,19723,0
3585,612,casado,5,40913,13892,1
12311,564,casado,11,121818,35609,1
5936,404,divorciado,8,104443,17333,1
3002,738,casado,12,21485,5257,0
9355,778,casado,3,107129,13810,0
9320,477,casado,10,172945,16738,0
7816,809,casado,19,138247,23475,1
6734,461,divorciado,17,74169,4250,0
5261,531,casado,10,86525,24109,1
12761,488,casado,3,221370,15355,1
1462,636,divorciado,17,26803,2178,0
7487,441,solteiro,0,98585,21205,1
10015,488,divorciado,6,80790,37010,1
10408,801,solteiro,5,91898,9687,0
13035,695,divorciado,14,122990,25152,0
14368,727,divorciado,17,199816,69814,0
3249,694,casado,10,17843,5460,1
6623,503,solteiro,19,96302,12641,1
13115,413,casado,14,137252,55925,1
5748,687,solteiro,15,54195,4172,1
4308,578,divorciado,6,78373,11160,1
14671,524,divorciado,9,174585,32397,1
13482,821,solteiro,11,86632,25948,0
8358,752,casado,13,145439,14924,0
11448,422,casado,4,65420,10431,1
8600,462,casado,17,136750,16483,0
4370,542,casado,4,72579,3031,1
11074,880,divorciado,2,113940,44454,0
3455,552,divorciado,4,60019,7918,1
2354,544,divorciado,16,29977,5879,1
5699,624,divorciado,18,68099,25766,1
7495,894,divorciado,18,42579,25942,0
7397,849,casado,11,69165,3966,0
12583,861,casado,8,238638,59697,0
11088,708,casado,0,120608,17376,0
13383,503,casado,17,176662,13172,0
14115,503,divorciado,3,183217,55847,1
14074,834,divorciado,9,195015,38733,0
2848,438,divorciado,6,16860,6983,1
6739,834,solteiro,0,70305,10935,0
10837,597,casado,16,171733,32116,1
5399,533,casado,1,43237,9365,1
13315,466,divorciado,10,107234,60678,1
9645,790,casado,8,49684,14162,0
12575,578,casado,6,145395,56330,0
3757,855,divorciado,16,68531,11336,0
6792,441,solteiro,16,39247,28717,1
1298,847,solteiro,1,10211,4812,1
3400,899,solteiro,5,32814,12359,0
4161,414,divorciado,13,66475,8153,1
6173,510,casado,5,90184,9583,0
5633,556,divorciado,1,63310,8162,1
13169,688,divorciado,0,215787,57382,1
4069,899,casado,9,57553,17056,0
12626,877,solteiro,4,232831,31345,0
13183,630,solteiro,1,227675,14446,1
2156,810,divorciado,15,18955,4786,0
13459,819,solteiro,1,122094,44240,0
9552,556,divorciado,9,65721,24308,1
6899,437,divorciado,1,69365,27670,1
8144,840,casado,15,162824,40632,0
5693,496,casado,15,63114,7743,1
10692,884,casado,18,88821,27461,0
6111,810,divorciado,6,100447,14907,0
5187,838,casado,11,68141,9700,0
10919,688,solteiro,14,79097,15193,0
7215,653,solteiro,7,77275,5740,0
14903,595,divorciado,5,167167,66944,1
14646,485,divorciado,9,238838,34993,1
2418,721,casado,2,12839,6615,1
5696,409,divorciado,18,51465,26351,1
5935,404,divorciado,16,75754,23700,1
12496,522,solteiro,6,112872,13586,1
12127,729,solteiro,19,174950,36919,0
5755,752,casado,3,70372,14330,1
10346,517,divorciado,13,107863,42288,1
9250,693,divorciado,19,177952,34771,0
13957,796,solteiro,14,202130,50340,0
4646,558,divorciado,7,32285,9442,1
2245,702,solteiro,14,30086,9254,0
8093,627,casado,19,135241,5954,0
2893,764,solteiro,13,45209,3524,0
4636,615,divorciado,8,35147,9319,1
9954,835,casado,7,194962,8417,0
11877,583,solteiro,16,139343,18498,1
7095,414,solteiro,1,52399,30052,1
4554,556,casado,2,35079,21709,1
1425,535,casado,7,9224,2665,1
6093,660,solteiro,11,103902,10299,0
8222,556,divorciado,0,56160,14466,1
10351,446,solteiro,9,71182,18111,1
6800,723,casado,19,120748,4499,0
13940,731,solteiro,2,141756,65115,0
12459,572,casado,5,68061,18210,1
9196,529,casado,6,53138,21978,1
10207,810,divorciado,19,72802,5548,0
14146,494,casado,17,116009,61687,1
8883,514,casado,10,133042,33668,1
5842,642,divorciado,18,42996,27810,1
14703,819,casado,4,99732,59065,0
12512,691,divorciado,18,206082,23918,0
8879,681,divorciado,10,133769,14343,0
9408,698,casado,11,108472,34242,0
8539,682,casado,9,113053,18260,0
10635,468,solteiro,7,102944,32415,0
3405,547,divorciado,8,41668,1798,1
11916,410,solteiro,3,150142,9276,0
2269,653,casado,4,24524,6600,1
4644,729,solteiro,7,86371,14151,1
11957,759,divorciado,8,62665,46411,0
2260,437,solteiro,14,37815,2472,1
3527,533,divorciado,14,24215,9908,1
4620,599,casado,15,78370,6352,1
1501,422,casado,13,21372,1379,1
13668,702,divorciado,7,241228,32081,0
1806,745,casado,17,11671,2230,0
4370,701,casado,9,58491,6546,0
1899,762,casado,19,23768,3663,0
6288,795,casado,5,98048,10483,0
10531,617,divorciado,11,137054,9416,0
1390,540,solteiro,1,18224,1257,1
11692,503,solteiro,6,133802,16013,0
2180,845,casado,15,20998,1585,0
4175,609,solteiro,2,51076,13857,1
7302,872,solteiro,12,49488,13092,0
2384,880,casado,2,46303,4193,0
4527,510,casado,17,71147,9026,1
4594,503,solteiro,10,88604,15998,1
9519,715,divorciado,7,79968,42053,0
11457,570,casado,5,208404,44864,1
3016,859,divorciado,0,51669,11382,1
7054,891,solteiro,0,106919,18903,0
7909,755,casado,7,113695,28647,0
1769,895,divorciado,4,17244,5284,1
6642,723,casado,15,114549,9784,0
3095,532,solteiro,10,38757,4452,1
3933,775,divorciado,4,23847,7212,0
5063,692,solteiro,3,49075,23282,1
14113,727,solteiro,5,268562,41821,0
8655,526,casado,13,153714,32911,0
5214,505,divorciado,18,102864,10738,1
12293,896,solteiro,8,177263,28700,0
2886,491,solteiro,11,25144,3073,1
4209,686,divorciado,10,31324,5348,0
9006,777,solteiro,13,70280,38033,0
1354,792,solteiro,15,7172,4240,0
11929,450,divorciado,0,129551,24083,1
2609,428,divorciado,12,20536,10730,1
13449,861,divorciado,12,150290,21644,0
1984,695,divorciado,1,37745,9706,1
12567,696,casado,3,143993,25783,0
9296,613,divorciado,5,168906,18758,1
8760,666,casado,4,123363,16675,0
13733,806,casado,2,119572,14412,0
8543,656,casado,0,88316,8544,0
8406,701,solteiro,3,52611,28718,1
6796,500,casado,19,67973,30160,1
7001,804,casado,1,106156,28405,1
4006,745,solteiro,4,24363,4546,0
1737,509,solteiro,2,14036,5133,1
7186,819,solteiro,8,77045,7007,0
3041,581,divorciado,19,60001,2140,1
14408,870,solteiro,5,241664,49761,0
11847,712,solteiro,17,189579,34453,0
9916,400,casado,5,66862,8618,0
8171,718,solteiro,18,136577,5370,0
6825,837,divorciado,11,114516,33810,0
4150,454,solteiro,10,58168,2635,0
9192,770,divorciado,1,182511,22983,0
13523,823,solteiro,14,133591,37469,0
5980,798,solteiro,11,114332,6146,0
13507,548,solteiro,11,252864,17029,0
3568,830,solteiro,8,18454,7432,1
13239,856,divorciado,1,155581,51996,1
7855,708,divorciado,2,154402,21851,0
9373,536,casado,11,61363,31592,1
5695,601,divorciado,15,75269,28095,0
12093,835,solteiro,0,238042,47840,0
10363,712,casado,2,138163,25437,0
7202,516,casado,19,56515,18069,0
7814,553,casado,1,107307,25664,1
10558,824,solteiro,8,85167,36891,0
14603,690,divorciado,18,186853,40204,0
14321,462,solteiro,14,87510,48718,1
7119,643,casado,17,100251,4313,0
12166,424,solteiro,10,155138,29603,0
11374,489,solteiro,15,183148,19963,0
2053,474,divorciado,16,29687,2219,1
5346,693,divorciado,4,70802,5067,0
13128,785,casado,11,201471,42198,0
4969,790,solteiro,10,35573,14192,0
1774,609,solteiro,14,24712,2911,0
12653,874,divorciado,2,95930,33141,0
2348,817,solteiro,0,44336,6374,1
7493,746,solteiro,19,45145,10321,0
7657,416,solteiro,15,87715,26297,1
8709,527,divorciado,1,134440,34959,1
11107,826,casado,1,131843,45112,0
5977,842,casado,2,38141,19192,0
14325,763,solteiro,7,190532,40144,0
5054,650,casado,14,73912,3914,0
14565,578,divorciado,6,226586,26147,0
3691,581,divorciado,5,39120,3394,1
12052,551,casado,8,162158,58297,1
4324,424,casado,19,50851,4790,1
6891,854,solteiro,0,103922,8151,0
4251,579,casado,7,58465,19142,1
1204,597,solteiro,2,15515,5716,1
6422,743,solteiro,3,56146,25342,1
6515,560,divorciado,14,32772,3415,1
6069,576,divorciado,5,46192,3071,1
2076,684,divorciado,14,14025,4570,1
10383,462,divorciado,2,121857,11891,1
8227,890,casado,13,116690,4794,0
5342,549,divorciado,19,43784,13826,1
8166,553,casado,13,155855,38737,0
8279,555,divorciado,3,42224,16203,1
9187,769,casado,11,152361,31926,0
7999,868,solteiro,16,115010,27477,0
13756,448,casado,6,145859,22420,0
5665,854,casado,8,32615,19413,0
1835,736,divorciado,2,26446,2670,0
14617,483,casado,12,157632,15333,0
2893,760,solteiro,14,55094,10577,1
11074,576,solteiro,17,145399,11190,1
5952,547,divorciado,18,113652,29677,1
9511,517,solteiro,0,79010,12607,0
2030,741,casado,5,32248,6442,1
13067,875,solteiro,1,186318,30722,0
6377,462,divorciado,13,102613,6815,0
10761,588,casado,5,88455,6728,0
10132,759,divorciado,13,151725,33458,0
9508,448,casado,3,118570,39271,1
7149,726,solteiro,7,115401,30662,0
4038,656,divorciado,2,39999,10790,0
2350,623,divorciado,18,43124,9396,1
8760,540,casado,13,54877,30903,1
3131,877,divorciado,19,53564,11769,0
10404,614,casado,16,186437,28264,0
2864,834,casado,7,49429,9595,0
2281,778,casado,13,28947,9408,1
14121,839,casado,5,163461,32343,0
1712,610,solteiro,15,34144,7065,1
12241,717,casado,18,103284,38731,0
14607,431,divorciado,13,192858,18208,0
9005,557,solteiro,18,135616,5502,1
6437,684,divorciado,2,99857,13726,1
1759,704,solteiro,9,14178,5206,0
4872,828,casado,18,72153,20848,0
13975,876,solteiro,8,241425,15004,0
8604,685,solteiro,19,49475,35284,0
14384,543,divorciado,12,268589,63052,0
4543,823,divorciado,6,24725,5352,0
14700,418,casado,13,151991,63682,1
5270,417,solteiro,8,27600,26147,1
14191,656,solteiro,18,87376,53511,1
10862,477,solteiro,14,202766,43789,1
1780,770,casado,19,18374,8855,0
8204,574,casado,13,93292,26455,0
11686,897,casado,5,96177,22033,0
9330,593,casado,3,130213,39828,1
4347,875,casado,7,60519,14193,0
5449,512,divorciado,16,57666,16975,1
2879,513,solteiro,8,28777,4725,1
4706,621,solteiro,0,85999,18369,1
14484,565,solteiro,19,155692,12564,0
8453,834,solteiro,13,104838,39384,0
3944,718,solteiro,10,36480,7754,0
12748,531,solteiro,2,214186,13703,1
13437,784,solteiro,8,147292,33466,0
10635,663,solteiro,13,135108,7350,0
6388,812,divorciado,8,56216,22874,0
12510,454,solteiro,3,247884,57072,1
14496,758,divorciado,3,135862,61864,0
3341,530,casado,7,55330,3585,1
14445,687,solteiro,1,164852,15430,0
12451,665,casado,8,100769,51801,0
13940,857,casado,13,236921,64948,0
14715,866,casado,8,147210,37861,0
12351,765,divorciado,15,222045,33908,0
11657,561,casado,16,218322,22523,0
7817,779,casado,15,139903,35365,0
3679,880,casado,11,20326,12516,0
7684,486,solteiro,2,129172,13809,1
14038,454,solteiro,10,156805,25893,0
11027,875,divorciado,13,199653,49736,0
14800,687,divorciado,17,215625,8308,0
8621,577,solteiro,4,150907,16830,0
11149,790,divorciado,15,139267,33386,0
5652,748,solteiro,19,73619,6595,0
11462,407,casado,4,82134,10481,0
7081,720,casado,2,118676,29518,0
7865,712,divorciado,11,88802,35587,0
4049,646,solteiro,0,50617,17031,1
12643,722,solteiro,8,212104,57456,0
8590,871,divorciado,8,120111,25675,0
8105,870,solteiro,3,64973,33677,0
13122,842,casado,2,181785,29238,0
3689,654,divorciado,16,41001,12904,1
11023,727,divorciado,1,132748,54561,0
12208,453,solteiro,0,66224,18504,1
10407,648,divorciado,7,84821,23463,0
10740,638,solteiro,12,98975,28570,1
5811,628,solteiro,14,91200,6514,0
12479,466,solteiro,7,64546,10790,0
4039,450,solteiro,11,44960,17100,1
9727,496,solteiro,11,183455,47619,1
7078,491,divorciado,13,47268,16429,1
13984,894,casado,14,178245,12507,0
10287,663,casado,14,172799,8190,0
7503,817,divorciado,8,143592,33845,0
12938,690,divorciado,18,209616,33472,0
2051,495,casado,19,32423,3979,1
2887,487,casado,7,50226,7633,1
11323,477,casado,18,132400,21880,1
8033,687,casado,5,137265,21694,1
13138,519,casado,19,67259,57386,1
3627,701,solteiro,18,68435,11480,0
10960,890,divorciado,3,127679,39740,0
5200,799,solteiro,6,69163,11133,0
6252,851,casado,3,55162,23903,0
3938,899,casado,11,63551,13782,0
12890,564,casado,12,79267,13380,0
6932,581,solteiro,2,125396,21329,1
6587,868,solteiro,11,114757,10903,0
9202,797,casado,1,75832,37897,0
6736,622,solteiro,1,115454,16279,1
14679,710,solteiro,8,246539,73043,0
5113,831,casado,0,74052,4684,0
2266,865,solteiro,7,24025,9090,0
8923,406,divorciado,5,80953,31512,1
5580,729,divorciado,5,47300,22061,0
11836,662,divorciado,17,115745,22297,0
5307,560,divorciado,16,98462,14404,1
6926,550,casado,11,42696,28287,0
4573,484,casado,5,79721,7071,1
13361,546,casado,7,136727,20270,1
11938,511,divorciado,18,153092,35572,1
10145,780,divorciado,9,171625,28974,0
3282,802,solteiro,0,59947,5809,1
12166,435,solteiro,12,123749,22401,0
12288,684,divorciado,16,146566,21507,0
13577,587,divorciado,2,152303,53925,1
10167,481,divorciado,7,52855,34908,1
7948,401,divorciado,13,75022,33746,1
11017,784,solteiro,2,130968,53869,1
12461,702,divorciado,15,139144,32819,0
1617,596,solteiro,12,25595,1293,1
9506,803,divorciado,19,102399,6810,0
10008,410,divorciado,16,123505,18319,1
5174,633,divorciado,12,59211,24299,1
4467,785,solteiro,5,71960,12750,1
2025,594,solteiro,16,36337,3489,1
8868,870,casado,13,115091,20363,0
6945,518,divorciado,16,116964,22180,1
10908,795,casado,7,103100,37504,0
12538,419,casado,10,164505,14953,0
1612,660,solteiro,19,16407,7893,1
8743,692,solteiro,0,98035,25804,1
8787,821,casado,6,140470,9758,0
1928,655,divorciado,16,35137,8717,1
12740,621,solteiro,9,86917,10649,0
8364,792,divorciado,10,121441,38347,0
12200,625,divorciado,8,167532,60811,0
10067,452,casado,8,68216,36764,1
12857,827,casado,4,105149,51003,1
7188,754,casado,16,69472,14504,0
3704,899,casado,8,27794,17546,1
4167,741,solteiro,16,36069,12016,0
3986,763,solteiro,18,35929,15129,0
2322,679,casado,6,23301,10817,1
5279,480,solteiro,8,85735,25805,1
2771,601,casado,6,37626,11775,0
6273,557,divorciado,12,124165,11690,0
6304,519,divorciado,10,70737,30571,1
3343,458,divorciado,13,54517,11120,1
11079,893,casado,18,200219,51937,0
8006,614,divorciado,10,121568,28361,0
8557,527,solteiro,12,95649,16109,1
13524,623,divorciado,13,220494,29280,0
13243,608,divorciado,12,106672,39426,0
4640,769,divorciado,0,45997,18815,0
4966,514,solteiro,7,65552,9588,1
6844,608,casado,11,93291,21276,0
11718,413,solteiro,18,62481,24084,1
4114,408,casado,11,78892,17159,1
6168,439,casado,7,95291,16038,0
7117,849,divorciado,7,88503,6015,0
14784,636,casado,12,280850,18439,0
13344,680,solteiro,11,154609,10341,0
9987,758,solteiro,15,196809,27432,0
1928,600,casado,0,24455,1886,1
2565,645,divorciado,12,17222,2599,0
5692,677,divorciado,6,93758,26950,0
1898,634,solteiro,4,28818,8402,1
8386,893,divorciado,7,139163,21253,0
1595,403,casado,13,30738,7873,1
8600,553,casado,12,143167,4307,0
9282,841,solteiro,14,131526,30286,0
5371,428,casado,16,95924,17584,1
5560,508,solteiro,14,83948,14225,0
3702,497,casado,19,41172,8463,1
11211,614,solteiro,17,204985,28579,0
1917,692,divorciado,17,15965,4538,1
3982,474,casado,1,62595,15080,1
6146,725,casado,3,112001,6816,0
12969,545,solteiro,0,207111,18018,1
6686,527,solteiro,3,103359,8774,1
9535,740,casado,17,155321,16029,0
6180,441,solteiro,4,74010,17697,1
12532,755,casado,18,226986,12537,0
8466,440,divorciado,14,68164,37307,1
5691,821,solteiro,7,39329,10460,0
8392,433,casado,19,77899,10334,1
12330,416,divorciado,16,159965,43651,0
